ZCTA5,concat_county_name,concat_state_name
03047,Hillsborough County,New Hampshire
03048,Hillsborough County,New Hampshire
03049,Hillsborough County,New Hampshire
03051,Hillsborough County,New Hampshire
03052,Hillsborough County,New Hampshire
03053,Rockingham County,New Hampshire
03054,Hillsborough County,New Hampshire
03055,Hillsborough County,New Hampshire
03057,Hillsborough County,New Hampshire
03060,Hillsborough County,New Hampshire
03062,Hillsborough County,New Hampshire
03063,Hillsborough County,New Hampshire
03064,Hillsborough County,New Hampshire
03070,Hillsborough County,New Hampshire
03071,Hillsborough County,New Hampshire
03076,Hillsborough County,New Hampshire
03077,Rockingham County,New Hampshire
03079,Rockingham County,New Hampshire
03082,Hillsborough County,New Hampshire
03084,Hillsborough County,New Hampshire
03086,Hillsborough County,New Hampshire
03087,Rockingham County,New Hampshire
03101,Hillsborough County,New Hampshire
03102,Hillsborough County,New Hampshire
03103,Hillsborough County|Rockingham County,New Hampshire
03104,Hillsborough County|Merrimack County,New Hampshire
03106,Merrimack County,New Hampshire
03109,Hillsborough County,New Hampshire
03110,Hillsborough County,New Hampshire
03215,Grafton County,New Hampshire
03216,Merrimack County,New Hampshire
03217,Grafton County,New Hampshire
03218,Belknap County,New Hampshire
03220,Belknap County|Merrimack County,New Hampshire
03221,Merrimack County,New Hampshire
03222,Grafton County,New Hampshire
03223,Grafton County,New Hampshire
03224,Merrimack County,New Hampshire
03225,Belknap County|Strafford County,New Hampshire
03226,Belknap County,New Hampshire
03227,Carroll County,New Hampshire
03229,Merrimack County,New Hampshire
03230,Merrimack County,New Hampshire
03231,Merrimack County,New Hampshire
03233,Merrimack County,New Hampshire
03234,Merrimack County,New Hampshire
03235,Merrimack County,New Hampshire
03237,Belknap County,New Hampshire
03238,Grafton County,New Hampshire
03240,Grafton County,New Hampshire
03241,Grafton County,New Hampshire
03242,Merrimack County,New Hampshire
03243,Merrimack County,New Hampshire
03244,Hillsborough County,New Hampshire
03245,Grafton County,New Hampshire
03246,Belknap County,New Hampshire
03249,Belknap County,New Hampshire
03251,Grafton County,New Hampshire
03253,Belknap County,New Hampshire
03254,Belknap County|Carroll County,New Hampshire
03255,Merrimack County,New Hampshire
03256,Belknap County,New Hampshire
03257,Merrimack County,New Hampshire
03258,Merrimack County,New Hampshire
03259,Carroll County,New Hampshire
03260,Merrimack County,New Hampshire
03261,Rockingham County,New Hampshire
03262,Grafton County,New Hampshire
03263,Merrimack County,New Hampshire
03264,Grafton County,New Hampshire
03266,Grafton County,New Hampshire
03268,Merrimack County,New Hampshire
03269,Belknap County,New Hampshire
03273,Merrimack County,New Hampshire
03275,Merrimack County,New Hampshire
03276,Belknap County|Merrimack County,New Hampshire
03278,Merrimack County,New Hampshire
03279,Grafton County,New Hampshire
03280,Sullivan County,New Hampshire
03281,Hillsborough County,New Hampshire
03282,Grafton County,New Hampshire
03284,Sullivan County,New Hampshire
03285,Grafton County,New Hampshire
03287,Merrimack County,New Hampshire
03290,Rockingham County,New Hampshire
03291,Rockingham County,New Hampshire
03293,Grafton County,New Hampshire
03301,Merrimack County,New Hampshire
03303,Merrimack County,New Hampshire
03304,Merrimack County,New Hampshire
03307,Merrimack County,New Hampshire
03431,Cheshire County,New Hampshire
03440,Hillsborough County,New Hampshire
03441,Cheshire County,New Hampshire
03442,Hillsborough County,New Hampshire
03443,Cheshire County,New Hampshire
03444,Cheshire County,New Hampshire
03445,Cheshire County,New Hampshire
03446,Cheshire County,New Hampshire
03447,Cheshire County,New Hampshire
03448,Cheshire County,New Hampshire
03449,Hillsborough County,New Hampshire
